date,game,session,winning_numbers,bonus_ball,powerball,megaball,cash_ball
2020-04-07,Cash4Life,,25 33 43 51 68,,,,20.0
2020-04-08,Cash4Life,,02 37 39 48 54,,,,5.0
2020-04-09,Cash4Life,,05 10 11 52 59,,,,1.0
2020-04-10,Cash4Life,,11 27 45 46 50,,,,3.0
2020-04-11,Cash4Life,,22 29 30 42 47,,,,17.0
2020-04-12,Cash4Life,,04 21 23 29 59,,,,3.0
2020-04-13,Cash4Life,,08 21 54 56 59,,,,3.0
2020-04-14,Cash4Life,,29 30 31 53 54,,,,3.0
2020-04-15,Cash4Life,,14 26 33 42 60,,,,2.0
2020-04-16,Cash4Life,,06 12 18 20 22,,,,1.0
2020-04-17,Cash4Life,,13 35 39 46 55,,,,14.0
2020-04-18,Cash4Life,,04 44 46 56 63,,,,19.0
2020-04-19,Cash4Life,,04 08 24 50 56,,,,3.0
2020-04-20,Cash4Life,,11 17 20 22 52,,,,1.0
2020-04-21,Cash4Life,,13 15 24 67 70,,,,17.0
2020-04-22,Cash4Life,,01 33 35 40 69,,,,24.0
2020-04-24,Cash4Life,,01 27 32 60 67,,,,18.0
2020-04-25,Cash4Life,,01 03 21 47 57,,,,18.0
2020-04-28,Cash4Life,,13 19 53 54 63,,,,17.0
2020-04-29,Cash4Life,,02 20 49 61 67,,,,20.0
2020-05-01,Cash4Life,,28 30 31 35 66,,,,14.0
2020-05-02,Cash4Life,,13 16 33 58 68,,,,24.0
2020-05-05,Cash4Life,,07 13 17 21 45,,,,14.0
2020-05-06,Cash4Life,,07 08 35 50 65,,,,20.0
2020-05-08,Cash4Life,,05 20 22 61 70,,,,4.0
2020-05-09,Cash4Life,,12 18 42 48 65,,,,19.0
2020-05-12,Cash4Life,,13 14 16 23 60,,,,4.0
2020-05-13,Cash4Life,,01 18 21 43 50,,,,1.0
2020-05-14,Cash4Life,,10 34 53 55 59,,,,1.0
2020-05-15,Cash4Life,,02 07 23 26 51,,,,2.0
2020-05-16,Cash4Life,,05 10 17 41 45,,,,3.0
2020-05-17,Cash4Life,,04 07 19 26 57,,,,3.0
2020-05-18,Cash4Life,,06 11 14 31 57,,,,1.0
2020-05-19,Cash4Life,,08 19 25 36 66,,,,9.0
2020-05-20,Cash4Life,,11 29 40 53 57,,,,1.0
2020-05-21,Cash4Life,,11 19 22 24 40,,,,2.0
2020-05-22,Cash4Life,,08 10 20 44 46,,,,18.0
2020-05-23,Cash4Life,,04 05 14 17 24,,,,3.0
2020-05-24,Cash4Life,,12 15 22 50 55,,,,2.0
2020-05-25,Cash4Life,,08 14 42 46 58,,,,3.0
2020-05-26,Cash4Life,,34 52 58 59 62,,,,4.0
2020-05-27,Cash4Life,,03 36 44 53 56,,,,4.0
2020-05-28,Cash4Life,,07 08 12 14 39,,,,2.0
2020-05-29,Cash4Life,,12 21 35 43 46,,,,3.0
2020-05-30,Cash4Life,,13 32 41 58 60,,,,14.0
2020-05-31,Cash4Life,,02 13 29 40 44,,,,2.0
2020-06-01,Cash4Life,,08 17 24 33 48,,,,3.0
2020-06-02,Cash4Life,,06 11 12 29 38,,,,3.0
2020-06-03,Cash4Life,,13 28 38 46 48,,,,1.0
2020-06-04,Cash4Life,Eve,6 4 28 28 6,4.0,,,
2020-06-05,Cash4Life,,32 35 37 47 55,,,,22.0
2020-06-06,Cash4Life,,13 24 32 40 49,,,,3.0
2020-06-07,Cash4Life,,01 09 12 39 51,,,,1.0
2020-06-08,Cash4Life,,06 08 22 30 39,,,,2.0
2020-06-09,Cash4Life,,01 05 09 10 23,,,,22.0
2020-06-10,Cash4Life,,10 33 41 52 54,,,,18.0
2020-06-11,Cash4Life,,20 35 44 50 51,,,,2.0
2020-06-12,Cash4Life,,01 15 20 34 56,,,,2.0
2020-06-13,Cash4Life,,02 12 32 50 65,,,,5.0
2020-06-14,Cash4Life,,06 10 11 19 40,,,,2.0
2020-06-15,Cash4Life,,18 31 34 43 55,,,,2.0
2020-06-16,Cash4Life,,06 15 29 48 56,,,,1.0
2020-06-17,Cash4Life,,10 28 51 54 57,,,,4.0
2020-06-18,Cash4Life,,02 29 30 37 41,,,,3.0
2020-06-19,Cash4Life,,11 34 36 52 66,,,,7.0
2020-06-20,Cash4Life,,05 19 22 50 54,,,,2.0
2020-06-21,Cash4Life,,14 17 20 40 47,,,,2.0
2020-06-22,Cash4Life,,07 14 46 48 58,,,,4.0
2020-06-23,Cash4Life,,11 45 50 52 59,,,,3.0
2020-06-24,Cash4Life,,15 22 27 33 46,,,,23.0
2020-06-25,Cash4Life,,20 37 43 45 50,,,,2.0
2020-06-26,Cash4Life,,19 33 37 56 57,,,,6.0
2020-06-27,Cash4Life,,09 36 49 56 62,,,,8.0
2020-06-28,Cash4Life,,15 23 44 46 54,,,,2.0
2020-06-29,Cash4Life,,10 12 16 17 32,,,,1.0
2020-06-30,Cash4Life,,03 15 30 32 39,,,,4.0
2020-07-01,Cash4Life,,21 31 34 38 47,,,,1.0
2020-07-02,Cash4Life,,11 33 42 54 57,,,,4.0
2020-07-03,Cash4Life,,07 23 28 42 47,,,,1.0
